,2019,2020,2021,2022,2023
CAT,14.009579145302308,36.812319239565724,25.23502171483665,32.27838541098269,0.0
CB,15.302777289702245,29.8892685283597,20.253340905118723,17.124866432299278,0.0
CCI,16.062367048258697,16.00241938541966,24.50278961397333,32.80505891412787,0.0
CDE,1.8617143371751246,3.0794875023718324,2.757647492584833,1.2543817603724603,0.0
CDNS,12.864998540052989,32.724323383110324,31.98552205879911,21.330738102844307,0.0
CF,4.9347315924463215,9.138882427831852,12.316285571250026,20.481426959510937,0.0
CFG,3.4598212225100116,10.494021493688832,5.43423261897589,10.250487674647777,0.0
CHD,7.279087706867667,16.233935327643184,7.397465104694342,17.031658926727804,0.0
CHRW,7.36132418872622,19.95953855636453,7.3170574548914775,11.711040648499955,0.0
CHTR,84.6775229282443,113.26735142452402,92.92602609254448,149.93709785306453,0.0
CINF,19.961628683602502,24.377638454608242,17.96581231306885,21.753211707724724,0.0
CL,5.763922748302183,9.414323660245062,4.727455478904975,5.7363901040946725,0.0
CLX,7.790914597083625,37.44323091789423,20.029753169498722,19.616976991407366,0.0
CME,25.48354480381738,28.643176157878845,19.9627903965547,39.1844476346307,0.0
CMG,163.19045448539114,380.7861872282992,325.5862361111917,205.2608787709465,0.0
CMI,20.15138792661455,51.72890170781856,24.82964797287823,27.26730743662362,0.0
CNC,10.015436074762043,7.076636628689602,10.416305519328674,8.633344677318036,0.0
CNP,2.705214705770733,5.810410909178554,3.5114495808590966,3.1262982936785852,0.0
CNWT,0.007492076753248779,0.006854072096105673,0.011809868770586079,0.001613669787881523,0.0
COO,34.973712066341406,45.39117687639544,36.27681719059103,84.15819338781661,0.0
COP,8.130988945982384,15.993287418106181,15.674342301187808,22.921850037879086,0.0
COST,51.58879894108226,50.013828900571156,110.92172843280862,60.584595840074286,0.0
COTY,2.625631001895986,4.34572212582379,1.6861067622477868,1.5338954619033849,0.0
COWN,1.4157831619156394,7.770010559069669,6.327196134821679,9.965690955877962,0.0
CPB,7.885225072295894,3.2191102312076345,5.162799075990248,4.931793650211887,0.0
CPICQ,0.0,0.0,0.0,0.0,0.0
CPRT,9.961722983235363,13.250053649524368,12.446470010085989,7.350668977302738,0.0
CRM,10.683444947928262,62.056878374281176,43.876031489424996,44.29792741912062,0.0
CSCO,7.255157786333142,6.039981502916255,7.347598115432386,9.529843384003682,0.0
CTAS,48.44518009438783,87.75670862139678,61.63172045419401,43.023471569636214,0.0
CTQ,0.0,0.0,0.0,0.0,0.0
CTSH,7.768737806952965,15.993611133992982,7.431628394952164,19.19832176210451,0.0
CUK,9.052107265850998,18.194329755871816,4.2478407726852465,7.835054444472427,0.0
D,5.9158045002224275,7.273393342692933,3.971049430710665,13.194895934313397,0.0
DAL,6.386040123602958,18.99892084782895,6.053819005069709,7.267735628353798,0.0
DE,15.360370851056086,71.50245681983051,39.88025580665331,60.301361677169204,0.0
DFS,10.770095429576477,26.838557107774793,21.381984511662605,15.138628353534045,0.0
DG,28.812677069647407,37.477700376774,21.07721410120624,29.672532452489524,0.0
DGX,12.300072023727546,19.633690517111095,22.243603166711825,13.042261757044988,0.0
DHI,9.009649551054965,20.87342874579319,15.047622781644867,13.508218976326654,0.0
DIS,20.936655364162853,31.431708195239253,19.34572724035784,32.83090569478469,0.0
DLTR,12.384620140436683,16.12067334188961,22.36319455288344,20.87479637931317,0.0
DOV,14.868974365046414,22.07518980765892,29.390720268542662,28.19325297226571,0.0
DPZ,31.420470217670054,66.14647753561383,103.72931110517257,72.43486790861296,0.0
DRE,3.6177114212737225,4.86390366086428,11.245989342244362,7.914720156212146,0.0
DRI,9.580476041102072,34.20455462079648,14.52225441732204,15.72705026760787,0.0
DTE,7.416698252915686,17.379824272760096,9.634357534115376,14.023403350561168,0.0
DVA,11.501052640672878,19.2949759877716,14.974044013208333,24.743957698244095,0.0
DXCM,12.379629305850617,28.375941216903698,37.4488995741523,27.700229664721178,0.0
EA,8.335785314040635,22.480526354222928,9.761176525414763,9.09220670815217,0.0
EBAY,4.304556650275682,14.323212854888176,11.183950138426324,12.179025498943647,0.0
ECL,24.97313963914366,27.259627592444136,12.336867240944539,31.581344574246547,0.0
ED,7.606145261353743,11.672422972466622,6.428978748441283,9.50294173756103,0.0
EFX,23.372371316425443,29.168501883858333,67.15279422220337,42.42239495193965,0.0
EIX,9.894691880136662,13.535090587997026,5.7089397256056476,7.236593132373627,0.0
EL,34.683511368193734,45.955015154479895,47.37705481520927,56.25092667214005,0.0
EMN,8.673019651843537,24.490029916107847,11.277828786340331,25.407134315471087,0.0
EMR,8.036225864590099,16.02771210272734,9.48324702682789,10.924058908514056,0.0
ENS,11.610843842366576,17.39041011605952,13.094840592606305,10.460604102815685,0.0
EOG,17.05001310073862,22.881830057314545,18.289819159026944,20.672571105829537,0.0
EQIX,105.13239277105232,116.54354021342246,107.890840751658,102.0680340148752,0.0
EQR,9.301737186214154,17.138311658006746,13.488424413233423,16.42914772953642,0.0
ES,9.881150703535846,8.630497246795311,5.500645569477982,9.049872223657886,0.0
ESS,34.87185047179596,58.436535662723486,53.880255850611434,75.27189409936803,0.0
EW,14.678349089741548,11.67471951869797,23.75438373660125,24.149459922842876,0.0
EXR,13.521846555212507,15.95690689944222,50.35472476478655,30.77002715958376,0.0
F,0.9932534990152581,2.363194752500877,4.891374584896466,5.030833953990832,0.0
FANG,15.790861025767853,29.268857775336198,26.414450555349124,20.698901270410904,0.0
FAST,4.440515167934314,9.30222292057896,7.504242122707108,6.496522018372764,0.0
FBHS,10.650189743665294,24.458990569632075,10.801028467604011,21.170146835299022,0.0
FCX,2.192447230513917,8.364734666092485,6.014573158566193,11.847854187769435,0.0
FDX,22.108125061232826,103.95194552852136,41.59986086591998,50.65938394549627,0.0
FE,5.469008443318174,12.987635768316423,4.3894482830708315,4.682380784986299,0.0
FFIV,19.504450583541036,28.562726459204438,25.9487346869487,45.20989245417348,0.0
FIS,19.5370350974221,16.844643799741625,23.91519335227137,23.34691179538069,0.0
FISV,19.81391620165871,15.012255852392165,11.771686489975425,8.385594961757175,0.0
FITB,2.6191964854900727,7.543798672170964,6.747845161205139,8.799934180808723,0.0
FLS,5.495308348201914,12.739288376137354,6.056114425232116,4.75054181696311,0.0
FLT,54.93236080360046,51.107403779647086,32.8894940769144,40.53901267392664,0.0
FMBM,4.218581128826466,6.043080158661973,2.3684563129500336,5.297462543403762,0.0
FMC,14.438320460374701,18.94558575142081,15.002038941798062,16.146223547147095,0.0
FN,7.960986493380383,10.000136355084324,18.413015211976187,22.32166443658832,0.0
FPLPF,1.800458186388249,2.3913976177231007,2.1729350519842106,2.0744757888742504,0.0
FRC,11.774295359019566,22.880107575448523,31.59052738175223,33.67840051664387,0.0
FRMC,0.0023470098027164378,0.24206137300470587,0.010973342120543832,7.148512695601438e-19,0.0
FRT,6.476903717782809,30.84297668761876,20.430534408296325,19.442243928913598,0.0
FTI,2.406669285794405,4.980496862976899,1.7006858231422406,2.818899363286942,0.0
GD,12.964700125432719,27.562710535355993,26.23310527484544,21.39469220465198,0.0
GE,12.22322372196029,29.21510728063293,10.139412085075769,19.29422967906533,0.0
GGG,4.75888463590185,13.540905048945028,5.475531335537307,8.095331063370278,0.0
GILD,2.9973965661428377,11.395824908088235,4.6479308453748995,12.776982545519338,0.0
GIS,6.157949593575028,6.832693002626612,4.572944192252064,9.163418836446473,0.0
GM,2.7773302089784018,11.252945619645647,7.0396016904772925,11.59918880795677,0.0
GOOG,6.7246039457592905,14.472068001639135,30.208058819975843,25.176599765752087,0.0
GPC,9.930367939264478,17.82236073463951,17.80176295370719,30.156860719572418,0.0
GPN,34.06206857300986,29.478260563960642,46.36815943157986,23.632312892281618,0.0
GRMN,14.072411740232031,21.112534538292785,25.369839753403856,23.099936118696483,0.0
GS-PJ,1.0333502605964497,2.31043825324202,0.6613091483457462,1.022730980863425,0.0
GWW,34.80509753007468,80.34590373247227,63.70504244465624,72.30670070362706,0.0
HAL,7.551340677926971,7.8569353156403,3.1689425676193443,7.481959498074319,0.0
HAS,19.247472062131855,20.3428619278928,5.188331517954706,19.075850597290877,0.0
