Volatility,VAR,Maximum Drawdown,risky
22.83251127,2.93024073,28.14,0
21.5359109,24.89706821,32.39,0
49.7282639,4.036735834,26.44,1
42.10911948,15.37174945,24.8,0
29.52364073,11.87125191,44.3,0
33.02794879,7.369529235,31.77,0
40.45647636,55.68766069,25.89,1
30.01348057,53.37199628,40.02,1
21.59421465,3.427094127,18.85,0
19.02441059,56.2158101,24.31,0
45.6984047,10.18031212,60.71,1
49.3228719,24.61228638,38.81,1
46.91844083,0.403878255,37.2,1
101.1724371,0.059762522,40.99,1
22.48116074,8.444612702,60.25,0
22.1510122,12.92462861,40.18,0
20.07131528,11.87533479,72.86,0
33.69351569,3.702229246,42.85,0
50.0445109,54.69019378,58.74,1
26.97783195,138.9622575,33.2,1
27.01993694,5.002425572,23.28,0
23.9731165,8.419627903,46.46,0
27.87582966,66.57707042,25.05,1
33.95394827,4.004418688,62.63,0
23.82154054,0,42.33,0
27.50122112,31.80322904,58.21,1
26.02813808,9.347991911,32.21,0
46.69200525,3.688346208,63.33,1
17.29815306,11.50891358,50.77,0
21.58558744,20.41939885,44.16,0
22.39153396,16.41048435,31.86,0
26.32044092,20.93017946,31.38,0
22.5858396,20.32552874,21.21,0
17.41646677,7.577283237,57.12,0
18.60621445,20.50865661,34.49,0
25.0097914,2.810961905,42.24,0
20.14320593,7.281212487,32.14,0
26.94284169,8.202720193,22.47,0
19.72604724,18.53176451,33.32,0
